seed,n_ind,n_cells_controls,n_cells_controls_i,method,type_1_err,MCC
8666,20,169,120,MAST_Combat,0.703117268678872,-0.0208455279179037
8666,20,169,120,GLM_tweedie,0.0664081434803684,0.865069496346132
8666,20,169,120,GLMM_tweedie,0.0295685894328648,0.897911476926317
8666,20,169,120,GEE1,0.0673776054289869,0.868292958083111
8666,20,169,120,Pseudobulk_mean,0.0247212796897722,0.932968909325852
8666,20,169,120,Pseudobulk_sum,0.977217644207465,0.0120478723231451
8666,20,169,120,Monocle,0.216674745516239,0.803713226495718
8666,20,169,120,ROTS,0.283082888996607,0.72539059789442
7897,20,169,286,MAST,0.388888888888889,0.226587670785306
7897,20,169,286,MAST_RE,0.0456905503634476,0.595169831361101
7897,20,169,286,MAST_Combat,0.753403141361257,-0.12666882927661
7897,20,169,286,GLM_tweedie,0.089922480620155,0.853614340934824
7897,20,169,286,GLMM_tweedie,0.0397932816537468,0.897104338062584
7897,20,169,286,GEE1,0.0599483204134367,0.883074503052296
7897,20,169,286,Pseudobulk_mean,0.020671834625323,0.932667454300346
7897,20,169,286,Pseudobulk_sum,1,-0.113096695309897
7897,20,169,286,Monocle,0.290956072351421,0.749751439812426
7897,20,169,286,ROTS,0.319896640826873,0.705718540109931
4185,20,169,78,MAST,0.273668639053254,0.405122991730421
4185,20,169,78,MAST_RE,0.0517751479289941,0.647178257553794
4185,20,169,78,MAST_Combat,0.688182720953327,0.0666899446411271
4185,20,169,78,GLM_tweedie,0.0669599217986315,0.848895811433446
4185,20,169,78,GLMM_tweedie,0.0303030303030303,0.88209149814251
4185,20,169,78,GEE1,0.0654936461388074,0.860038122792855
4185,20,169,78,Pseudobulk_mean,0.0234604105571848,0.932361307733424
4185,20,169,78,Pseudobulk_sum,1,-0.174818010434249
4185,20,169,78,Monocle,0.186705767350929,0.83020522323041
4185,20,169,78,ROTS,0.23802541544477,0.759135006173725
238,20,179,172,MAST,0.378012048192771,0.247983734791448
238,20,179,172,MAST_RE,0.0512305374183827,0.601479270593748
238,20,179,172,MAST_Combat,0.751902587519026,-0.0956757165419581
238,20,179,172,GLM_tweedie,0.093313373253493,0.847077919125013
