seed,n_ind,n_cells,method,type_1_err,MCC
1965,10,100,ROTS,0.235087719298246,0.721868712464635
2215,10,100,MAST,0.262924667651403,0.377978727756004
2215,10,100,MAST_RE,0.0580994583948794,0.604632317970521
2215,10,100,MAST_Combat,0.701195219123506,-0.0488860405833286
2215,10,100,GLM_tweedie,0.0459433040078201,0.81077378117734
2215,10,100,GLMM_tweedie,0.0244379276637341,0.826086689499159
2215,10,100,GEE1,0.0718475073313783,0.79958089475264
2215,10,100,Pseudobulk_mean,0.0249266862170088,0.909308918568014
2215,10,100,Pseudobulk_sum,0.0879765395894428,0.858783612813675
2215,10,100,Monocle,0.180351906158358,0.82787417157282
2215,10,100,ROTS,0.224828934506354,0.70147742632741
2531,10,100,MAST,0.27295534370296,0.378714864786894
2531,10,100,MAST_RE,0.0506773707977923,0.621695789013397
